"Story","Title","Result","Date","Stability","Duration (s)"
"Users with different roles should see different pages","Non-logged in user, accesses different pages","SUCCESS","2021-09-15T20:47:24.5697541+02:00[Europe/Skopje]","0.0","0.14"
"Users with different roles should see different pages","Non-logged in user - shown buttons","SUCCESS","2021-09-15T20:47:24.7260071+02:00[Europe/Skopje]","0.0","3.66"
"Users with different roles should see different pages","User with role DELIVERY, accesses different pages","SUCCESS","2021-09-15T20:47:28.9813874+02:00[Europe/Skopje]","0.0","28.22"
"Users with different roles should see different pages","Logged in delivery - shown buttons","SUCCESS","2021-09-15T20:47:57.1980017+02:00[Europe/Skopje]","0.0","6.11"
"Users with different roles should see different pages","User with role EMPLOYEE, accesses different pages","SUCCESS","2021-09-15T20:48:04.515964+02:00[Europe/Skopje]","0.0","28.33"
"Users with different roles should see different pages","Logged in employee - shown buttons","SUCCESS","2021-09-15T20:48:32.841191+02:00[Europe/Skopje]","0.0","5.53"
"Users with different roles should see different pages","User with role CUSTOMER, accesses different pages","SUCCESS","2021-09-15T20:48:39.5554293+02:00[Europe/Skopje]","0.0","30.81"
"Users with different roles should see different pages","Logged in customer - shown buttons","SUCCESS","2021-09-15T20:49:10.3642584+02:00[Europe/Skopje]","0.0","5.52"
"Login user","Successful login user to the web application","SUCCESS","2021-09-15T20:49:17.0299201+02:00[Europe/Skopje]","0.0","2.3"
"Login user","Login with empty username","SUCCESS","2021-09-15T20:49:19.9276607+02:00[Europe/Skopje]","0.0","2.29"
"Login user","Login with empty password","SUCCESS","2021-09-15T20:49:22.8223882+02:00[Europe/Skopje]","0.0","2.26"
"Login user","Login with invalid username or password","SUCCESS","2021-09-15T20:49:25.6754857+02:00[Europe/Skopje]","0.0","2.29"
"Login user","Logout user","SUCCESS","2021-09-15T20:49:28.5534971+02:00[Europe/Skopje]","0.0","4.14"
"User views his profile page","Admin user clicks on profile button","SUCCESS","2021-09-15T20:49:33.2975455+02:00[Europe/Skopje]","0.0","6.37"
"User views his profile page","Customer user clicks on profile button","SUCCESS","2021-09-15T20:49:40.2989553+02:00[Europe/Skopje]","0.0","6.81"
"User views his profile page","Delivery user clicks on profile button","SUCCESS","2021-09-15T20:49:47.7114262+02:00[Europe/Skopje]","0.0","6.87"
"User views his profile page","Employee user clicks on profile button","SUCCESS","2021-09-15T20:49:55.1663201+02:00[Europe/Skopje]","0.0","6.87"
"User views his profile page","Customer should see his private information","SUCCESS","2021-09-15T20:50:02.6245296+02:00[Europe/Skopje]","0.0","2.82"
"User views his profile page","Customer user leaves a review","SUCCESS","2021-09-15T20:50:06.0279487+02:00[Europe/Skopje]","0.0","3.07"
"Register user","Successful register","SUCCESS","2021-09-15T20:50:09.6991879+02:00[Europe/Skopje]","0.0","2.87"
"Register user","User registers where passwords do not match","SUCCESS","2021-09-15T20:50:13.1650604+02:00[Europe/Skopje]","0.0","3.17"
"Register user","User registers where email address already exists","SUCCESS","2021-09-15T20:50:16.9366677+02:00[Europe/Skopje]","0.0","3.14"
"Register user","User registers with empty username","SUCCESS","2021-09-15T20:50:20.6750681+02:00[Europe/Skopje]","0.0","2.84"
"Register user","User registers with empty password","SUCCESS","2021-09-15T20:50:24.0954696+02:00[Europe/Skopje]","0.0","2.89"
"Register user","User registers with empty repeatedPassword","SUCCESS","2021-09-15T20:50:27.5864606+02:00[Europe/Skopje]","0.0","2.92"
"Register user","User registers with empty name","SUCCESS","2021-09-15T20:50:31.1054749+02:00[Europe/Skopje]","0.0","2.88"
"Register user","User registers with empty surname","SUCCESS","2021-09-15T20:50:34.5872399+02:00[Europe/Skopje]","0.0","2.91"
"Register user","User registers with empty phoneNumber","SUCCESS","2021-09-15T20:50:38.0814349+02:00[Europe/Skopje]","0.0","2.89"
"Register user","User registers with empty address","SUCCESS","2021-09-15T20:50:41.5770024+02:00[Europe/Skopje]","0.0","2.89"
