"Story","Title","Result","Date","Stability","Duration (s)"
"Customer can view details about selected meal","Customer is on Meal2 details page","SUCCESS","2021-09-15T20:43:33.5631339+02:00[Europe/Skopje]","0.0","3.07"
"Customer can view details about selected meal","Customer is on Meal2 details page, so there should be Meal2 as meal name, Meal2 description as meal description","SUCCESS","2021-09-15T20:43:37.1949829+02:00[Europe/Skopje]","0.0","3.19"
"Customer can view details about selected meal","Customer is on Meal2 details page and he click 1 times on plus button, value of input should be 2","SUCCESS","2021-09-15T20:43:40.9837883+02:00[Europe/Skopje]","0.0","3.18"
"Customer can view details about selected meal","Customer is on Meal2 details page and he clicks 10 times on plus button, but value of input should stay 7","SUCCESS","2021-09-15T20:43:44.7543674+02:00[Europe/Skopje]","0.0","3.46"
"Customer can view details about selected meal","Customer is on Meal2 details page, the quantity is 3 so he clicks once on minus button and quantity should be 2","SUCCESS","2021-09-15T20:43:48.8203923+02:00[Europe/Skopje]","0.0","3.26"
"Customer can view details about selected meal","Customer is on Meal2 details page, the quantity is 5 so he clicks 7 times on minus button but quantity should be 1","SUCCESS","2021-09-15T20:43:52.6903939+02:00[Europe/Skopje]","0.0","3.64"
"Customer can view details about selected meal","Customer is on Meal2 details page, after the details for meal there should be list of 4 most ordered meals","SUCCESS","2021-09-15T20:43:56.9123426+02:00[Europe/Skopje]","0.0","3.07"
"Customer can view details about selected meal","Customer is on Meal2 details page, the list of 4 most ordered meals is ""Meal2, Meal7, Meal8, Meal9""","SUCCESS","2021-09-15T20:44:00.5607003+02:00[Europe/Skopje]","0.0","4.19"
"Customer can view details about selected meal","Customer is on Meal2 details page, he clicks 4 times on plus button for Meal2 and then Add, meal should be in","SUCCESS","2021-09-15T20:44:05.3436644+02:00[Europe/Skopje]","0.0","5.54"
"Customer can view details about selected meal","Customer is on Meal2 details page, clicks 2 times on plus button for Meal as most ordered product and then on Add.","SUCCESS","2021-09-15T20:44:11.4777342+02:00[Europe/Skopje]","0.0","5.45"
