"Story","Title","Result","Date","Stability","Duration (s)"
"Admin is logged in and views the menu, list of meals","Admin user is logged in and opens the form for adding new meal","SUCCESS","2021-09-15T20:44:57.8415028+02:00[Europe/Skopje]","0.0","3.18"
"Admin is logged in and views the menu, list of meals","Admin user is logged in and add new meal","SUCCESS","2021-09-15T20:45:01.6273228+02:00[Europe/Skopje]","0.0","6.84"
"Admin is logged in and views the menu, list of meals","Admin wants to edit meal named Meal for edit so edit form should be displayed","SUCCESS","2021-09-15T20:45:09.0698966+02:00[Europe/Skopje]","0.0","5.53"
"Admin is logged in and views the menu, list of meals","Admin wants to edit meal named Meal for edit with new name Edited meal","SUCCESS","2021-09-15T20:45:15.1916646+02:00[Europe/Skopje]","0.0","5.57"
"Admin is logged in and views the menu, list of meals","Admin wants to edit meal named Meal for edit with new description Edited meal description","SUCCESS","2021-09-15T20:45:21.3680626+02:00[Europe/Skopje]","0.0","5.67"
"Admin is logged in and views the menu, list of meals","Admin wants to edit meal named Meal for edit with new price 35","SUCCESS","2021-09-15T20:45:27.6402381+02:00[Europe/Skopje]","0.0","5.54"
"Admin is logged in and views the menu, list of meals","Admin wants to edit meal named Meal for edit with new category Pizza","SUCCESS","2021-09-15T20:45:33.7861248+02:00[Europe/Skopje]","0.0","5.52"
"Admin is logged in and views the menu, list of meals","Admin wants to edit meal named Meal for edit with new name imageUrl","SUCCESS","2021-09-15T20:45:39.9108786+02:00[Europe/Skopje]","0.0","5.81"
"Admin is logged in and views the menu, list of meals","Admin wants to edit Ingredients","SUCCESS","2021-09-15T20:45:46.315364+02:00[Europe/Skopje]","0.0","5.45"
"Admin is logged in and views the menu, list of meals","Admin want to delete Meal for delete by clicking on delete button after meal","SUCCESS","2021-09-15T20:45:52.3655624+02:00[Europe/Skopje]","0.0","6.26"
