"Story","Title","Result","Date","Stability","Duration (s)"
"Register user","Successful register","SUCCESS","2021-09-15T20:50:09.6991879+02:00[Europe/Skopje]","0.0","2.87"
"Register user","User registers where passwords do not match","SUCCESS","2021-09-15T20:50:13.1650604+02:00[Europe/Skopje]","0.0","3.17"
"Register user","User registers where email address already exists","SUCCESS","2021-09-15T20:50:16.9366677+02:00[Europe/Skopje]","0.0","3.14"
"Register user","User registers with empty username","SUCCESS","2021-09-15T20:50:20.6750681+02:00[Europe/Skopje]","0.0","2.84"
"Register user","User registers with empty password","SUCCESS","2021-09-15T20:50:24.0954696+02:00[Europe/Skopje]","0.0","2.89"
"Register user","User registers with empty repeatedPassword","SUCCESS","2021-09-15T20:50:27.5864606+02:00[Europe/Skopje]","0.0","2.92"
"Register user","User registers with empty name","SUCCESS","2021-09-15T20:50:31.1054749+02:00[Europe/Skopje]","0.0","2.88"
"Register user","User registers with empty surname","SUCCESS","2021-09-15T20:50:34.5872399+02:00[Europe/Skopje]","0.0","2.91"
"Register user","User registers with empty phoneNumber","SUCCESS","2021-09-15T20:50:38.0814349+02:00[Europe/Skopje]","0.0","2.89"
"Register user","User registers with empty address","SUCCESS","2021-09-15T20:50:41.5770024+02:00[Europe/Skopje]","0.0","2.89"
