"Story","Title","Result","Date","Stability","Duration (s)"
"We have Customer1 who does not have items in shopping cart","Customer1 clicks on Shopping cart button on home page and is redirected to Shopping cart page","SUCCESS","2021-09-15T20:46:22.1805372+02:00[Europe/Skopje]","0.0","2.74"
"We have Customer1 who does not have items in shopping cart","Customer1 is on Shopping cart page and information about empty shopping cart is displayed","SUCCESS","2021-09-15T20:46:25.5391856+02:00[Europe/Skopje]","0.0","2.77"
"We have Customer1 who does not have items in shopping cart","Customer1 is on Shopping cart page and button for back to menu page is displayed, but checkout button is not shown","SUCCESS","2021-09-15T20:46:28.8942445+02:00[Europe/Skopje]","0.0","4.8"
"We have Customer1 who does not have items in shopping cart","Customer1 is on Shopping cart page and clicks button for back to menu page so he should be redirected to Menu page","SUCCESS","2021-09-15T20:46:34.2759247+02:00[Europe/Skopje]","0.0","2.85"
"We have Customer1 who does not have items in shopping cart","Customer1 is on menu page, selects Meal4 with quantity 1 and adds it to shopping cart.","SUCCESS","2021-09-15T20:46:37.7162484+02:00[Europe/Skopje]","0.0","5.66"
"We have Customer1 who does not have items in shopping cart","Customer1 is on shopping cart and clicks on Check out. He is redirected on Checkout page","SUCCESS","2021-09-15T20:46:43.9850157+02:00[Europe/Skopje]","0.0","2.86"
"We have Customer1 who does not have items in shopping cart","Customer1 is on Checkout page where total is 12, delivery fee is 20 and total is 32$","SUCCESS","2021-09-15T20:46:47.4470174+02:00[Europe/Skopje]","0.0","4.63"
"We have Customer1 who does not have items in shopping cart","Customer1 is on Checkout page and clicks on Cancel order, he should be redirected to Menu and should have empty shopping cart","SUCCESS","2021-09-15T20:46:52.6801475+02:00[Europe/Skopje]","0.0","4.31"
"We have Customer1 who does not have items in shopping cart","Customer1 has canceled his order, and once he opens his shopping cart he should see empty shopping cart","SUCCESS","2021-09-15T20:46:57.5955879+02:00[Europe/Skopje]","0.0","3.69"
"Customer2 adds meals in shopping cart and can manipulate with the","Customer2 is on Shopping cart page and there should be 5 order items,","SUCCESS","2021-09-15T20:47:01.8946093+02:00[Europe/Skopje]","0.0","2.87"
"Customer2 adds meals in shopping cart and can manipulate with the","Customer2 is on Shopping cart page and there should be 5 order items with below data,","SUCCESS","2021-09-15T20:47:05.3532714+02:00[Europe/Skopje]","0.0","3.14"
"Customer2 adds meals in shopping cart and can manipulate with the","Customer2 is on Shopping cart page and clicks on the delete button next to Meal6 (order item with id 7), total=380","SUCCESS","2021-09-15T20:47:09.0915973+02:00[Europe/Skopje]","0.0","2.89"
"Customer2 adds meals in shopping cart and can manipulate with the","Customer2 clicks on continue shopping button and he is redirected to menu page","SUCCESS","2021-09-15T20:47:12.5819993+02:00[Europe/Skopje]","0.0","3.12"
"Customer2 adds meals in shopping cart and can manipulate with the","Customer2 is on shopping cart page and clicks on check out button, and he is redirected to /checkOut page","SUCCESS","2021-09-15T20:47:16.3034002+02:00[Europe/Skopje]","0.0","2.79"
"Customer2 adds meals in shopping cart and can manipulate with the","Customer2 is on checkout page and total is 380, delivery fee 0 and total with delivery is 380","SUCCESS","2021-09-15T20:47:19.685364+02:00[Europe/Skopje]","0.0","4.3"
